season,date,team1,team2,venue,city,toss_winner,toss_decision,winner,win_type,win_margin,id
2008,2008-04-18,RCB,KKR,M Chinnaswamy Stadium,Bangalore,RCB,field,KKR,runs,140,1
2008,2008-04-19,PBKS,CSK,"Punjab Cricket Association Stadium, Mohali",Chandigarh,CSK,bat,CSK,runs,33,2
2008,2008-04-19,DC,RR,Feroz Shah Kotla,Delhi,RR,bat,DC,wickets,9,3
2008,2008-04-20,MI,RCB,Wankhede Stadium,Mumbai,MI,bat,RCB,wickets,5,4
2008,2008-04-20,KKR,DC08,Eden Gardens,Kolkata,DC08,bat,KKR,wickets,5,5
2008,2008-04-21,RR,PBKS,Sawai Mansingh Stadium,Jaipur,PBKS,bat,RR,wickets,6,6
2008,2008-04-22,DC08,DC,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,DC08,bat,DC,wickets,9,7
2008,2008-04-23,CSK,MI,"MA Chidambaram Stadium, Chepauk",Chennai,MI,field,CSK,runs,6,8
2008,2008-04-24,DC08,RR,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,RR,field,RR,wickets,3,9
2008,2008-04-25,PBKS,MI,"Punjab Cricket Association Stadium, Mohali",Chandigarh,MI,field,PBKS,runs,66,10
2008,2008-04-26,RCB,RR,M Chinnaswamy Stadium,Bangalore,RR,field,RR,wickets,7,11
2008,2008-04-26,CSK,KKR,"MA Chidambaram Stadium, Chepauk",Chennai,KKR,bat,CSK,wickets,9,12
2008,2008-04-27,PBKS,DC,"Punjab Cricket Association Stadium, Mohali",Chandigarh,DC,bat,PBKS,wickets,4,13
2008,2008-04-27,MI,DC08,Dr DY Patil Sports Academy,Mumbai,DC08,field,DC08,wickets,10,14
2008,2008-04-28,RCB,CSK,M Chinnaswamy Stadium,Bangalore,CSK,bat,CSK,runs,13,15
2008,2008-04-29,KKR,MI,Eden Gardens,Kolkata,KKR,bat,MI,wickets,7,16
2008,2008-04-30,DC,RCB,Feroz Shah Kotla,Delhi,RCB,field,DC,runs,10,17
2008,2008-05-01,DC08,PBKS,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,PBKS,field,PBKS,wickets,7,18
2008,2008-05-01,RR,KKR,Sawai Mansingh Stadium,Jaipur,RR,bat,RR,runs,45,19
2008,2008-05-02,CSK,DC,"MA Chidambaram Stadium, Chepauk",Chennai,CSK,bat,DC,wickets,8,20
2008,2008-05-03,PBKS,KKR,"Punjab Cricket Association Stadium, Mohali",Chandigarh,PBKS,bat,PBKS,runs,9,21
2008,2008-05-03,RCB,DC08,M Chinnaswamy Stadium,Bangalore,DC08,field,RCB,runs,3,22
2008,2008-05-04,RR,CSK,Sawai Mansingh Stadium,Jaipur,CSK,bat,RR,wickets,8,23
2008,2008-05-04,MI,DC,Dr DY Patil Sports Academy,Mumbai,DC,field,MI,runs,29,24
2008,2008-05-05,RCB,PBKS,M Chinnaswamy Stadium,Bangalore,PBKS,field,PBKS,wickets,6,25
2008,2008-05-06,CSK,DC08,"MA Chidambaram Stadium, Chepauk",Chennai,DC08,field,DC08,wickets,7,26
2008,2008-05-07,MI,RR,Dr DY Patil Sports Academy,Mumbai,MI,field,MI,wickets,7,27
2008,2008-05-08,DC,CSK,Feroz Shah Kotla,Delhi,CSK,field,CSK,wickets,4,28
2008,2008-05-08,KKR,RCB,Eden Gardens,Kolkata,KKR,bat,KKR,runs,5,29
2008,2008-05-09,RR,DC08,Sawai Mansingh Stadium,Jaipur,RR,field,RR,wickets,8,30
